Date,Particulars,Buyer/Supplier,GSTIN,Voucher Type,Voucher No.,Voucher Ref. No.,Voucher Ref. Date,Narration,Gross Total,IGST Input,CGST Input,SGST Input
2026-09-26,Raw material,Steelcraft Industries Ltd,27AAACS9876K1Z1,Purchase,PV-STEELCRAFT-01,SCI/PO/1001,2026-09-26,Raw material - September,71130.40,10850.40,0.00,0.00
2026-10-01,Raw material,Steelcraft Industries Ltd,27AAACS9876K1Z1,Purchase,PV-STEELCRAFT-02,SCI/PO/1002,2026-09-27,Raw material - September,74363.60,11343.60,0.00,0.00
2026-09-14,Raw material,Steelcraft Industries Ltd,27AAACS9876K1Z1,Purchase,PV-STEELCRAFT-03,SCI/PO/1003,2026-09-10,Raw material - September,59000.00,9000.00,0.00,0.00
2026-09-12,Castings,Bharat Heavy Works,27AAACB1199H1Z3,Purchase,PV-BHARAT-01,BHW/SP/1004,2026-09-11,Castings - September,32780.40,5000.40,0.00,0.00
2026-09-29,Castings,Bharat Heavy Works,27AAACB1199H1Z3,Purchase,PV-BHARAT-02,BHW/SP/1005,2026-09-27,Castings - September,66646.40,10166.40,0.00,0.00
2026-09-11,Forgings,Anand Forgings Pvt Ltd,24AABCA4471K1ZQ,Purchase,PV-ANAND-01,AF-2425-1006,2026-09-09,Forgings - September,32780.40,5000.40,0.00,0.00
2026-09-15,Forgings,Anand Forgings Pvt Ltd,24AABCA4471K1ZQ,Purchase,PV-ANAND-02,AF-2425-1007,2026-09-11,Forgings - September,21004.00,3204.00,0.00,0.00
2026-09-17,Forgings,Anand Forgings Pvt Ltd,24AABCA4471K1ZQ,Purchase,PV-ANAND-03,AF-2425-1008,2026-09-14,Forgings - September,25004.20,3814.20,0.00,0.00
2026-09-20,Aluminium extrusion,Coromandel Alloys Pvt Ltd,33AAECC7781M1ZB,Purchase,PV-COROMANDEL-01,CAP/1009,2026-09-20,Aluminium extrusion - September,19009.80,2899.80,0.00,0.00
2026-09-23,Aluminium extrusion,Coromandel Alloys Pvt Ltd,33AAECC7781M1ZB,Purchase,PV-COROMANDEL-02,CAP/1010,2026-09-20,Aluminium extrusion - September,36827.80,5617.80,0.00,0.00
2026-09-01,Copper wire,Sundaram Copper Works,33AAFCS2290J1ZR,Purchase,PV-SUNDARAM-01,SCW-1011,2026-09-01,Copper wire - September,32780.40,5000.40,0.00,0.00
2026-09-21,Copper wire,Sundaram Copper Works,33AAFCS2290J1ZR,Purchase,PV-SUNDARAM-02,SCW-1012,2026-09-18,Copper wire - September,32780.40,5000.40,0.00,0.00
